TableFile,Field,Use
Commanders.txt,CAPID,Identify commanders by CAPID for unit/company-name override and recruiting group membership
Commanders.txt,Unit,Resolve commander's assigned unit
Commanders.txt,Wing,Limit commander matches to the configured wing
DutyPosition.txt,CAPID,Associate duty positions with member CAPIDs
DutyPosition.txt,Duty,Identify recruiting officer/commander/chief of staff duty roles
DutyPosition.txt,FunctArea,Build Entra department text and identify recruiting officer duty roles
DutyPosition.txt,Lvl,Separate wing-level and unit-level duty positions
MbrAchievements.txt,AchvID,Filter/query qualification achievement records
MbrAchievements.txt,CAPID,Associate achievements with member CAPIDs
MbrAchievements.txt,Status,Filter active/training qualifications
MbrContact.txt,CAPID,Join contact rows to Member.txt rows
MbrContact.txt,Contact,Read member/parent email addresses and phone numbers
MbrContact.txt,Priority,Select primary email/phone contact rows
MbrContact.txt,Type,Distinguish member email/phone from cadet parent email/phone
MbrContact.txt,DoNotContact,Carry contact preference into combined member account data
MbrTasks.txt,CAPID,Identify members with matching Ops Quals task records
MbrTasks.txt,TaskID,Filter active flight review task records
MbrTasks.txt,Status,Filter active task records
Member.txt,CAPID,Member identity and joins to contacts/flights/directory users
Member.txt,DOB,Set/compare DOB metadata and calculate O-Flight age priority
Member.txt,Joined,Set/compare member joined date and calculate O-Flight priority
Member.txt,MbrStatus,Filter active or expired members
Member.txt,NameFirst,Build display names and reports
Member.txt,NameLast,Build display names and reports
Member.txt,NameMiddle,Middle initial/name from Member.txt
Member.txt,NameSuffix,Name suffix from Member.txt
Member.txt,Rank,Set/display grade or job title
Member.txt,Type,Filter account sync members and active cadets
Member.txt,Unit,Set/resolve unit/company and squadron
Organization.txt,ORGID,Join active unit rows to parent group rows through NextLevel
Organization.txt,Name,Build unit display names and resolve/log dynamic CAPWATCH group organizations
Organization.txt,NextLevel,Determine which active units belong to each CAPWATCH group organization
Organization.txt,Scope,Distinguish wing/group/unit organization rows
Organization.txt,Status,Use only active organization rows for unit and group planning
Organization.txt,Type,Identify CAPWATCH group organization rows
Organization.txt,Unit,Build unit distribution lists
Organization.txt,Wing,Limit units and dynamic CAPWATCH group discovery to the configured wing
SpecTrack.txt,CAPID,Associate specialty tracks with member CAPIDs
SpecTrack.txt,Track,Build specialty track and recruiting distribution group membership
